"No.","Leftover Capture Data","Length","Source Port","Destination Port","Time","Source","Destination","Protocol","Info"
"1","0000c74b5d390000","35","0x00000001","0xffffffff","0.000000","1.1.1","host","USB","URB_INTERRUPT in"
"2","0000b54b5d390000","35","0x00000001","0xffffffff","0.015600","1.1.1","host","USB","URB_INTERRUPT in"
"3","","36","0xffffffff","0x00000000","1.825203","host","1.2.0","USB","SET FEATURE Request"
"4","","28","0x00000000","0xffffffff","1.825203","1.2.0","host","USB","SET FEATURE Status"
"5","","36","0xffffffff","0x00000000","1.872003","host","1.2.0","USBHUB","GET_STATUS Request     [Port 1]"
"6","","32","0x00000000","0xffffffff","1.903203","1.2.0","host","USBHUB","GET_STATUS Response    [Port 1]"
"7","","28","0x00000000","0xffffffff","1.903203","1.2.0","host","USB","GET STATUS Status"
"8","","36","0xffffffff","0x00000000","1.903203","host","1.2.0","USBHUB","GET_STATUS Request     [Port 2]"
"9","","32","0x00000000","0xffffffff","1.934403","1.2.0","host","USBHUB","GET_STATUS Response    [Port 2]"
"10","","28","0x00000000","0xffffffff","1.934403","1.2.0","host","USB","GET STATUS Status"
"11","","36","0xffffffff","0x00000000","1.934403","host","1.2.0","USBHUB","GET_STATUS Request     [Port 3]"
"12","","32","0x00000000","0xffffffff","1.950003","1.2.0","host","USBHUB","GET_STATUS Response    [Port 3]"
"13","","28","0x00000000","0xffffffff","1.950003","1.2.0","host","USB","GET STATUS Status"
"14","","36","0xffffffff","0x00000000","1.950003","host","1.2.0","USBHUB","GET_STATUS Request     [Port 4]"
"15","","32","0x00000000","0xffffffff","1.981203","1.2.0","host","USBHUB","GET_STATUS Response    [Port 4]"
"16","","28","0x00000000","0xffffffff","1.981203","1.2.0","host","USB","GET STATUS Status"
"17","","36","0xffffffff","0x00000000","1.981203","host","1.2.0","USBHUB","GET_STATUS Request     [Port 5]"
"18","","32","0x00000000","0xffffffff","1.996803","1.2.0","host","USBHUB","GET_STATUS Response    [Port 5]"
"19","","28","0x00000000","0xffffffff","1.996803","1.2.0","host","USB","GET STATUS Status"
"20","","36","0xffffffff","0x00000000","1.996803","host","1.2.0","USBHUB","GET_STATUS Request     [Port 6]"
"21","","32","0x00000000","0xffffffff","2.028003","1.2.0","host","USBHUB","GET_STATUS Response    [Port 6]"
"22","","28","0x00000000","0xffffffff","2.028003","1.2.0","host","USB","GET STATUS Status"
"23","","36","0xffffffff","0x00000000","2.028003","host","1.2.0","USBHUB","GET_STATUS Request     [Port 7]"
"24","","32","0x00000000","0xffffffff","2.043603","1.2.0","host","USBHUB","GET_STATUS Response    [Port 7]"
"25","","28","0x00000000","0xffffffff","2.043603","1.2.0","host","USB","GET STATUS Status"
"26","","36","0xffffffff","0x00000000","4.742408","host","1.2.0","USB","CLEAR FEATURE Request"
"27","","36","0xffffffff","0x00000000","4.758008","host","1.2.0","USBHUB","GET_STATUS Request     [Port 1]"
"28","","36","0xffffffff","0x00000000","4.773608","host","1.2.0","USBHUB","GET_STATUS Request     [Port 2]"
"29","","36","0xffffffff","0x00000000","4.773608","host","1.2.0","USBHUB","GET_STATUS Request     [Port 4]"
"30","","36","0xffffffff","0x00000000","4.804808","host","1.2.0","USBHUB","GET_STATUS Request     [Port 3]"
"31","","36","0xffffffff","0x00000000","4.804808","host","1.2.0","USBHUB","GET_STATUS Request     [Port 5]"
"32","","36","0xffffffff","0x00000000","4.820408","host","1.2.0","USBHUB","GET_STATUS Request     [Port 6]"
"33","","28","0x00000000","0xffffffff","4.851608","1.2.0","host","USB","CLEAR FEATURE Status"
